Index;Origin;Destination;length;slices;cost
1;2;3;10;64;1
2;1;2;5;64;1
3;1;4;15;64;1
4;3;4;18;64;1
5;3;6;20;64;1
6;5;6;17;64;1
7;4;5;19;64;1
8;1;9;30;64;1
9;4;9;20;64;1
10;5;10;50;64;1
11;9;10;8;64;1
12;6;7;10;64;1
13;7;8;13;64;1
14;5;8;15;64;1
15;7;11;19;64;1
16;8;11;25;64;1
17;11;12;24;64;1
18;11;14;34;64;1
19;12;14;10;64;1
20;12;13;6;64;1
21;13;14;12;64;1
22;8;15;10;64;1
23;14;15;7;64;1
24;10;15;23;64;1
25;13;17;20;64;1
26;16;17;40;64;1
27;15;16;13;64;1
28;10;18;20;64;1
29;16;18;14;64;1
30;16;19;19;64;1
31;9;19;31;64;1
32;17;20;5;64;1
33;19;20;4;64;1
34;19;21;16;64;1
35;20;21;17;64;1
